accession	project	bases	gc	ags	country	div	arg_copies	cpg
SRR16329111	PRJNA763692	8338.499719	2401.125	3.472747032745067	CN	3.4226824512326046	9127.005	3.8011369670466966
SRR16329112	PRJNA763692	11795.911217	3271.0	3.6062094824212783	CN	3.8359870374418192	18183.297	5.55894130235402
SRR16329113	PRJNA763692	9478.256135	2646.5	3.581430619686378	CN	3.4856995164864504	8574.185	3.2398205176648402
SRR16329114	PRJNA763692	8830.904984	2765.875	3.1928069721155152	CN	3.4137143348754084	10972.398	3.9670621412753646
SRR16329115	PRJNA763692	11883.704489	3707.625	3.205206699436971	CN	2.75746782754256	16934.813000000002	4.567563602036344
SRR16329116	PRJNA763692	6926.972077	2014.125	3.4391967117234534	CN	4.750282351466891	6506.633	3.230501086079563
SRR16329117	PRJNA763692	7428.163996	1725.0	4.306182026666667	CN	2.772248748097203	7161.731	4.151728115942029
SRR16329118	PRJNA763692	8835.092537	1821.5	4.850448826242109	CN	2.982031245968121	7587.446	4.165493274773538
SRR16329119	PRJNA763692	11693.737244	3584.75	3.262078874119534	CN	4.53467618338205	17539.796	4.892892391380151
SRR16329120	PRJNA763692	5988.669803	1548.0	3.8686497435400518	CN	3.729885238546516	7132.978	4.6078669250646
SRR16329121	PRJNA763692	12961.044973	3369.875	3.846150071738566	CN	3.6891611504567945	11453.874	3.3989017396787715
SRR16329122	PRJNA763692	6791.578638	2005.75	3.3860544125638787	CN	3.225835579291159	7123.541	3.551559765673688
SRR16329123	PRJNA763692	9175.465077	1986.75	4.61832896791242	CN	2.8530030868144345	19095.967	9.611660752485214
SRR16329124	PRJNA763692	10477.647257	2559.0	4.094430346619774	CN	0.9742472211906108	15878.536	6.204976944118797
SRR16329125	PRJNA763692	12175.75659	2905.75	4.1902285434053175	CN	3.1660132551058986	15642.136	5.383166480254667
SRR16329126	PRJNA763692	6633.356657	2082.625	3.1850941273633038	CN	4.344662755601454	6821.701	3.2755301602544864
