l1	l2	corr	p	corr.spearman	p.spearman	method	sample	coverage	precision	recall
272.0	62.44997998398398	0.6574294221926157	2.1915513227686634e-25	0.5162701326797645	1.3101448385280334e-14	binning-based	LQ	8	0.9935064935064936	0.8595505617977528
99.0	21.470910553583888	0.9559199309865868	1.5706135768871585e-102	0.675002815673218	9.402512341072743e-27	binning-based	LQ	16	1.0	0.9157303370786516
69.0	17.05872210923198	0.9722001455604592	7.47210252568542e-120	0.7586175328321105	1.2309704784160084e-36	binning-based	LQ	32	1.0	0.9382022471910112
341.001	42.205670175937264	0.8220897883932812	2.0827586718022137e-45	0.528613968892145	2.3988286465761562e-14	read-based	HQ	1	0.991869918699187	0.6853932584269663
294.91	36.932442567477175	0.8797608175533166	1.1318265718520523e-60	0.6937867723463301	9.591764616472014e-28	read-based	HQ	2	0.9736842105263158	0.8314606741573034
189.447	25.383504545275063	0.950764621150793	1.5100055975507692e-95	0.7975579657226094	2.994635331998631e-42	read-based	HQ	4	0.9717514124293786	0.9662921348314608
130.654	18.116619662619183	0.968774915370558	2.2026068913864183e-113	0.8272434832127701	6.018335151909344e-48	read-based	HQ	8	0.9775280898876404	0.9775280898876404
101.841	12.332063290463603	0.9857211066522508	2.6031349289531407e-144	0.8450235982583945	6.572824507530552e-52	read-based	HQ	16	0.9775280898876404	0.9775280898876404
75.602	9.01125474060078	0.993379657761505	7.162706926064734e-175	0.859108059267775	2.03058291237556e-55	read-based	HQ	32	0.9775280898876404	0.9775280898876404
463.987	68.76956798613759	0.6785631444523322	4.866211118349557e-26	0.5465834165241878	1.2043233363422884e-15	read-based	LQ	1	0.9765625	0.702247191011236
282.281	40.77600678094902	0.9032305268245148	8.930734654210272e-69	0.7281822872641164	1.114103628347057e-31	read-based	LQ	2	0.9814814814814816	0.8932584269662921
186.385	24.32193370190783	0.9465098339135624	7.90257947029857e-92	0.7754456964636856	2.170500681936502e-38	read-based	LQ	4	0.9772727272727272	0.9662921348314608
130.534	16.00031637187215	0.9809233043118526	1.523495980361047e-133	0.8207530138484103	7.4123340380254735e-47	read-based	LQ	8	0.9720670391061452	0.9775280898876404
98.102	11.859124756911866	0.9882670857900752	9.650901345404637e-154	0.8387998792757628	5.353745671708755e-51	read-based	LQ	16	0.9775280898876404	0.9775280898876404
82.23400000000001	10.474098529229138	0.9898164114637552	1.974175159247704e-159	0.8590732222989883	5.404120177001053e-56	read-based	LQ	32	0.9775280898876404	0.9775280898876404
